code,name,city,state,statename,lat,lng,search
ATT,Atmautluak Airport,Atmautluak,AK,Alaska,60.865,-162.276,att|atmautluakairport|atmautluakak|alaska
ATW,Outagamie County Airport,Appleton,WI,Wisconsin,44.2603,-88.5111,atw|outagamiecountyairport|appletonwi|wisconsin
ATY,Watertown Municipal Airport,Watertown,SD,South Dakota,44.9216,-97.1609,aty|watertownmunicipalairport|watertownsd|southdakota
AUG,Augusta State Airport,Augusta,ME,Maine,44.3181,-69.7933,aug|augustastateairport|augustame|maine
AUK,Alakanuk Airport,Alakanuk,AK,Alaska,62.6833,-164.633,auk|alakanukairport|alakanukak|alaska
AUS,Austin-Bergstrom International Airport,Austin,TX,Texas,30.2027,-97.6653,aus|austinbergstrominternationalairport|austintx|texas
AVL,Asheville Regional Airport,Fletcher,NC,North Carolina,35.4349,-82.5373,avl|ashevilleregionalairport|fletchernc|northcarolina
AVP,Wilkes Barre Scranton International Airport,Pittston,PA,Pennsylvania,41.3354,-75.7294,avp|wilkesbarrescrantoninternationalairport|pittstonpa|pennsylvania
AZA,Phoenix-Mesa Gateway Airport,Phoenix,AZ,Arizona,33.3078,-111.656,aza|phoenixmesagatewayairport|phoenixaz|arizona
AZO,Kalamazoo-Battle Creek International Airport,Kalamazoo,MI,Michigan,42.2398,-85.5563,azo|kalamazoobattlecreekinternationalairport|kalamazoomi|michigan
BDL,Bradley International Airport,Windsor Locks,CT,Connecticut,41.9271,-72.6816,bdl|bradleyinternationalairport|windsorlocksct|connecticut
BDR,Igor I Sikorsky Memorial Airport,Stratford,CT,Connecticut,41.1636,-73.1283,bdr|igorisikorskymemorialairport|stratfordct|connecticut
BET,Bethel Airport,Bethel,AK,Alaska,60.7788,-161.847,bet|bethelairport|bethelak|alaska
BFD,Bradford Regional Airport,Lewis Run,PA,Pennsylvania,41.7964,-78.6407,bfd|bradfordregionalairport|lewisrunpa|pennsylvania
BFF,William B Heilig Field Airport,Scottsbluff,NE,Nebraska,41.8683,-103.597,bff|williambheiligfieldairport|scottsbluffne|nebraska
